Pais,Casos,Mortes,porcentagem_mortes
Yemen,11945,2159,0.181
Sudan,63729,5001,0.078
Syria,57450,3164,0.055
Somalia,27318,1361,0.05
Peru,4479075,218656,0.049
Egypt,515645,24805,0.048
Mexico,7342764,331897,0.045
Bosnia and Herzegovina,401312,16248,0.04
Afghanistan,208289,7871,0.038
Liberia,8053,294,0.037
Ecuador,1051239,35942,0.034
Niger,9506,315,0.033
Burma,633809,19490,0.031
Gambia,12586,372,0.03
Malawi,88446,2686,0.03
Bulgaria,1294987,38167,0.029
North Macedonia,346297,9633,0.028
Paraguay,805486,19778,0.025
Haiti,34008,860,0.025
Tunisia,1150217,29291,0.025
Sri Lanka,671984,16826,0.025
South Africa,4054522,102588,0.025
Chad,7651,194,0.025
Algeria,271346,6881,0.025
Indonesia,6728402,160793,0.024
Honduras,470144,11099,0.024
Namibia,170496,4083,0.024
Jamaica,153143,3476,0.023
Trinidad and Tobago,187204,4309,0.023
Mali,32776,743,0.023
Zimbabwe,259981,5637,0.022
Colombia,6348356,142085,0.022
Bahamas,37491,833,0.022
Senegal,88900,1968,0.022
Cambodia,138677,3056,0.022
Hungary,2191200,48629,0.022
Uganda,170279,3630,0.021
El Salvador,201785,4230,0.021
Madagascar,67817,1419,0.021
Ukraine,5675938,118926,0.021
Lesotho,34790,723,0.021
Armenia,446008,8717,0.02
Tanzania,42530,846,0.02
Moldova,598073,11950,0.02
Guinea-Bissau,8947,176,0.02
Romania,3322648,67542,0.02
Bolivia,1184589,22343,0.019
Iran,7563623,144741,0.019
Eswatini,74114,1422,0.019
Brazil,36751410,696485,0.019
Poland,6376214,118696,0.019
Pakistan,1576188,30640,0.019
Guyana,72815,1293,0.018
Russia,21594672,386829,0.018
Angola,105095,1930,0.018
Burkina Faso,22025,396,0.018
Comoros,8992,161,0.018
Kenya,342792,5688,0.017
Suriname,82020,1398,0.017
Guatemala,1224140,20081,0.016
Sierra Leone,7760,126,0.016
Antigua and Barbuda,9106,146,0.016
Cameroon,123993,1965,0.016
Philippines,4072188,65726,0.016
Mauritania,63664,997,0.016
Nicaragua,15541,245,0.016
Congo (Brazzaville),25375,388,0.015
Ethiopia,499354,7572,0.015
Congo (Kinshasa),95472,1463,0.015
Bangladesh,2037469,29441,0.014
Saint Lucia,29803,409,0.014
Papua New Guinea,46663,669,0.014
